Address,Images_Found
"Taramar, Middle Third, Dublin 5, D05X8N9",True
"87 Haddington Road, Dublin 4, D04WP23",True
"Apartment 79, The Northumberlands, Love Lane East, Dublin 2, D02X068",True
"7 Parkside Heath, Clongriffin, Dublin 13, Dublin 13, D13WN3C",True
"5 Herbert Road, Blanchardstown, Blanchardstown, Dublin 15, D15A3TN",True
"Apartment 40, The Swift, Tassagard Greens, Saggart, Co. Dublin, D24KF58",False
"31 Tibradden Grove, Dublin 12, D12P2X4",True
"Apartment 207, The Edges 1, Beacon South Quarter, Sandyford, Dublin 18, D18KX68",True
"80 Moatfield Road, Coolock, Coolock, Dublin 5, D05X9C0",True
"79 South Circular Road, Dublin 8, D08HR77",False
