Address,Asking Price,Beds,Baths,Property Type,Energy Rating,Eircode,Local Property Tax,Agency Name,Agency Contact,Price Changes,URL
"22 Mount Rochford Avenue, Balbriggan, Co. Dublin, K32E628","€437,500",4 Bed,3 Bath,Semi-D,B3,K32 E628,€405,Sherry Fitzgerald Cumisky Kelly,Chris White,"Sold, €437,500, Tue Jul 30 2024; Sale Agreed, €437,500, Fri May 10 2024; Created, €437,500, Tue Apr 30 2024",https://mynest.ie/listing/127923/Dublin/22-mount-rochford-avenue-balbriggan-co-dublin-k32e628
"194 Barton Road East, Dundrum, Dundrum, Dublin 14, D14DP96","€570,000",3 Bed,2 Bath,Semi-D,E2,D14 DP96,€585,OMD Estate Agents,Elena Cernat,"Sold, €665,000, Tue Jul 30 2024; Sale Agreed, €570,000, Wed Jul 10 2024; Price Drop, €570,000, Tue Mar 12 2024; Created, €599,000, Wed Feb 28 2024",https://mynest.ie/listing/118167/Dublin/194-barton-road-east-dundrum-dundrum-dublin-14-d14dp96
"Hill View, 140 Stillorgan Wood, Stillorgan, Co. Dublin, A94T048","€825,000",4 Bed,2 Bath,Detached,C3,A94 T048,€855,Beirne & Wise Estate Agents,Wade Wise ASCSI,"Sold, €940,000, Tue Jul 30 2024; Sale Agreed, €825,000, Fri Jun 07 2024; Created, €825,000, Tue May 21 2024",https://mynest.ie/listing/131488/Dublin/hill-view-140-stillorgan-wood-stillorgan-co-dublin-a94t048
"10 Saint Patrick's Close, Skerries, Co. Dublin, K34DX70","€445,000",3 Bed,1 Bath,Semi-D,D1,K34 DX70,€495,Dalton & Co.,Dalton & Co. Sales,"Sold, €445,000, Tue Jul 30 2024; Sale Agreed, €445,000, Wed Mar 20 2024; Price Drop, €445,000, Wed Feb 07 2024; Created, €449,000, Tue Feb 06 2024",https://mynest.ie/listing/114828/Dublin/10-saint-patricks-close-skerries-co-dublin-k34dx70
"73 Ashington Avenue, Navan Road (D7), Dublin 7","€515,000",3 Bed,2 Bath,Semi-D,C3,D07 E9P5,€495,Flynn Estate Agents,Flynn and Associates Castleknock,"Sold, €540,000, Mon Jul 29 2024; Sale Agreed, €515,000, Mon Apr 22 2024; Created, €515,000, Tue Feb 13 2024",https://mynest.ie/listing/115853/Dublin/73-ashington-avenue-navan-road-d7-dublin-7
"1 The Mews, Monkstown Castle, Monkstown, Co. Dublin, A94YY24","€795,000",3 Bed,2 Bath,End of Terrace,C1,A94 YY24,€855,Sherry FitzGerald Dun Laoghaire,Jacqui McCabe,"Sold, €777,500, Mon Jul 29 2024; Sale Agreed, €795,000, Sat Apr 06 2024; Price Drop, €795,000, Fri Jan 05 2024; Created, €825,000, Mon Sep 25 2023",
"Nutfield, 50 Killiney Road Killiney, Killiney, Co. Dublin, A96CD60","€825,000",4 Bed,2 Bath,Bungalow,G,A96 CD60,€855,Lisney Sotheby's International Realty (Dalkey),Michelle Kealy,"Sold, €875,000, Fri Jul 26 2024; Sale Agreed, €825,000, Thu May 02 2024; Created, €825,000, Tue Mar 26 2024",https://mynest.ie/listing/122119/Dublin/nutfield-50-killiney-road-killiney-killiney-co-dublin-a96cd60
"22 Elder Heath Green, Kiltipper, Dublin 24, D24X39X","€439,950",3 Bed,2 Bath,Semi-D,A3,D24 X39X,€495,Keller Williams Ireland,Team Castles,"Sold, €480,000, Fri Jul 26 2024; Unlisted, €439,950, Wed Jun 19 2024; Created, €439,950, Tue Mar 19 2024",https://mynest.ie/listing/121051/Dublin/22-elder-heath-green-kiltipper-dublin-24-d24x39x
"122 Seskin View Road, Tallaght, Tallaght, Dublin 24, D24NY5N","€370,000",3 Bed,2 Bath,Terrace,B3,D24 NY5N,€405,Tom Maher & Co. Ltd,Tom Maher & Co.,"Sold, €370,000, Fri Jul 26 2024; Unlisted, €370,000, Thu Aug 22 2024; Price Rise, €370,000, Thu May 23 2024; Created, €300,000, Fri Apr 12 2024",https://mynest.ie/listing/124786/Dublin/122-seskin-view-road-tallaght-tallaght-dublin-24-d24ny5n
"56 Fairview Close, Richmond Avenue, Fairview, Dublin 3, D03NY04","€275,000",1 Bed,1 Bath,Apartment,SI_666,D03 NY04,€315,Newcombe Estates,Dermot Smyth 002173-006276,"Sold, €280,000, Thu Jul 25 2024; Sale Agreed, €275,000, Thu Apr 11 2024; Created, €275,000, Tue Mar 26 2024",https://mynest.ie/listing/122159/Dublin/56-fairview-close-richmond-avenue-fairview-dublin-3-d03ny04
