Address,Asking Price,Beds,Baths,Property Type,Energy Rating,Eircode,Local Property Tax,Agency Name,Agency Contact,Price Changes,URL
"Apartment 90, Allendale Square, Clonsilla, Dublin 15, D15VF88","€270,000",2 Bed,1 Bath,Apartment,D1,D15 VF88,€315,Duffy Auctioneers,Duffy Auctioneers MIPAV,"Sold, €292,000, Thu Aug 08 2024; Sale Agreed, €270,000, Tue Jun 18 2024; Created, €270,000, Tue May 14 2024",https://mynest.ie/listing/130191/Dublin/apartment-90-allendale-square-clonsilla-dublin-15-d15vf88
"76 Chelmsford Lane, Ranelagh, Ranelagh, Dublin 6, D06XV02","€975,000",3 Bed,3 Bath,Detached,A3,D06 XV02,"€1,035",Mullery O'Gara Estate Agents Ranelagh,Ciaran Cassidy,"Sold, €1,175,000, Thu Aug 08 2024; Sale Agreed, €975,000, Mon Apr 08 2024; Created, €975,000, Thu Mar 21 2024",https://mynest.ie/listing/121438/Dublin/76-chelmsford-lane-ranelagh-ranelagh-dublin-6-d06xv02
"57 Windmill Road, Crumlin, Dublin 12, D12A9K1","€345,000",2 Bed,1 Bath,End of Terrace,G,D12 A9K1,€315,DNG Terenure,Orla Buckley,"Sold, €400,000, Thu Aug 08 2024; Sale Agreed, €345,000, Sat May 04 2024; Created, €345,000, Thu Mar 21 2024",https://mynest.ie/listing/121472/Dublin/57-windmill-road-crumlin-dublin-12-d12a9k1
"Kanta, Kanta, 5 Silchester Crescent, Glenageary, Co. Dublin, A96D5K3","€900,000",4 Bed,1 Bath,Detached,G,A96 D5K3,€945,DNG Dun Laoghaire,David Dobbs,"Sold, €1,300,000, Thu Aug 08 2024; Unlisted, €900,000, Tue May 07 2024; Created, €900,000, Fri Mar 29 2024",https://mynest.ie/listing/122856/Dublin/kanta-kanta-5-silchester-crescent-glenageary-co-dublin-a96d5k3
"19 Burford Drive, Honey Park, Dun Laoghaire, Co. Dublin, A96K2P6","€975,000",5 Bed,3 Bath,Semi-D,A2,A96 K2P6,"€1,035",Moovingo,Moovingo,"Sold, €1,000,000, Thu Aug 08 2024; Sale Agreed, €975,000, Tue Jun 11 2024; Relisted, €975,000, Tue Apr 02 2024; Unlisted, €975,000, Wed Mar 20 2024; Created, €975,000, Tue Mar 19 2024",https://mynest.ie/listing/121043/Dublin/19-burford-drive-honey-park-dun-laoghaire-co-dublin-a96k2p6
"149 Saint Mobhi Road, Glasnevin, Glasnevin, Dublin 9, D09C6V4","€895,000",3 Bed,2 Bath,Semi-D,C1,D09 C6V4,€945,Hamill Estate Agents & Valuers,Hamill Estate Agents & Valuers,"Sold, €990,000, Thu Aug 08 2024; Sale Agreed, €895,000, Fri May 31 2024; Created, €895,000, Tue Apr 30 2024",https://mynest.ie/listing/127873/Dublin/149-saint-mobhi-road-glasnevin-glasnevin-dublin-9-d09c6v4
"14 Laurelton, Swords, Co. Dublin","€405,000",3 Bed,3 Bath,Semi-D,C1,K67 D880,€405,iMOVE,Shane Doyle ASCSI & ARICS,"Sold, €427,000, Thu Aug 08 2024; Unlisted, €405,000, Mon Feb 19 2024; Created, €405,000, Fri Oct 20 2023",https://mynest.ie/listing/101746/Dublin/14-laurelton-swords-co-dublin
"105 Larkhill Road, Whitehall, Whitehall, Dublin 9, D09P448","€390,000",3 Bed,1 Bath,End of Terrace,SI_666,D09 P448,€405,Smith & Butler Estates,Mitchell Onuorah,"Sold, €415,000, Thu Aug 08 2024; Unlisted, €390,000, Thu Apr 04 2024; Created, €390,000, Thu Feb 01 2024",https://mynest.ie/listing/114388/Dublin/105-larkhill-road-whitehall-whitehall-dublin-9-d09p448
"105 Larkhill Road, Dublin 9, D09P448","€390,000",3 Bed,1 Bath,End of Terrace,--,D09 P448,€405,Smith & Butler Estates,Mitchell Onuorah,"Sold, €415,000, Thu Aug 08 2024; Unlisted, €390,000, Mon Feb 19 2024; Created, €390,000, Sat Feb 17 2024",https://mynest.ie/listing/116575/Dublin/105-larkhill-road-dublin-9-d09p448
"103 The Island, Chapelizod, Dublin 20, D20HK06","€275,000",1 Bed,1 Bath,Apartment,B3,D20 HK06,€315,DNG Lucan,Eoin Gorry,"Sold, €300,000, Thu Aug 08 2024; Sale Agreed, €275,000, Tue May 21 2024; Created, €275,000, Fri Apr 26 2024",https://mynest.ie/listing/127359/Dublin/103-the-island-chapelizod-dublin-20-d20hk06
"91 Mount Tallant Avenue, Terenure, Dublin 12, D6WVW62","€460,000",3 Bed,1 Bath,Terrace,E2,D6W VW62,€495,Auctioneera.ie,Auctioneera Dublin Office*,"Sold, €511,000, Wed Aug 07 2024; Sale Agreed, €460,000, Tue Apr 16 2024; Price Rise, €460,000, Wed Dec 06 2023; Created, €450,000, Thu Sep 21 2023",
"7 Ballyowen Lawn, Lucan, Co. Dublin, K78H9C6","€415,000",3 Bed,2 Bath,Semi-D,C2,K78 H9C6,€405,DNG Lucan,Eoin Gorry,"Sold, €497,000, Wed Aug 07 2024; Sale Agreed, €415,000, Mon Apr 22 2024; Created, €415,000, Sat Mar 30 2024",https://mynest.ie/listing/122961/Dublin/7-ballyowen-lawn-lucan-co-dublin-k78h9c6
"45 Birch Grove, DunLaoghaire, Co Dublin, A96RX84","€575,000",3 Bed,1 Bath,Terrace,D2,A96 RX84,€585,Sherry FitzGerald Dun Laoghaire,Pippy Proger,"Sold, €610,000, Wed Aug 07 2024; Sale Agreed, €575,000, Mon Apr 29 2024; Created, €575,000, Tue Mar 19 2024",https://mynest.ie/listing/121076/Dublin/45-birch-grove-dunlaoghaire-co-dublin-a96rx84
"45 Beverton Court, Donabate, Co. Dublin","€250,000",2 Bed,1 Bath,Apartment,D2,K36 H602,€225,PropertyTeam Nolan & Fahy Auctioneers,Sean Nolan MIPAV MCEI,"Sold, €285,000, Wed Aug 07 2024; Unlisted, €250,000, Fri Dec 02 2022; Created, €250,000, Fri Nov 18 2022",https://mynest.ie/listing/48335/Dublin/45-beverton-court-donabate-co-dublin
"4 Barrack Lane, Finglas, Dublin 11, D11H9V9","€195,000",2 Bed,1 Bath,Bungalow,G,D11 H9V9,€90,Be Lettings,Michelle,"Sold, €200,000, Wed Aug 07 2024; Sale Agreed, €195,000, Tue Apr 02 2024; Price Drop, €195,000, Wed Mar 06 2024; Price Drop, €225,000, Tue Jan 16 2024; Created, €265,000, Mon Nov 13 2023",https://mynest.ie/listing/104850/Dublin/4-barrack-lane-finglas-dublin-11-d11h9v9
